pl_name,ra,dec,sy_dist
CoRoT-7 b,100.9561682,-1.0630076,159.906
CoRoT-7 c,100.9561682,-1.0630076,159.906
CoRoT-7 d,100.9561682,-1.0630076,159.906
CoRoT-8 b,291.5885696,1.4262972,322.037
CoRoT-9 b,280.7866461,6.2040783,412.98
CoRoTID 223977153 b,100.1951714,9.2573953,576.683
DE CVn b,201.7207198,45.5455449,30.5225
DENIS-P J082303.1-491201 b,125.7620668,-49.2003008,
DH Tau b,67.4231674,26.5493897,134.846
DMPP-1 b,86.7761233,-10.6303217,62.5388
DMPP-1 c,86.7761233,-10.6303217,62.5388
DMPP-1 d,86.7761233,-10.6303217,62.5388
DMPP-1 e,86.7761233,-10.6303217,62.5388
DMPP-2 b,27.407731,-34.4590985,137.94
DMPP-3 A b,91.624382,-72.5126648,45.23
DMPP-4 b,293.5826648,51.2358069,25.3284
DP Leo b,169.3162193,17.9615717,305.684
DS Tuc A b,354.9154673,-69.196043,44.0622
EPIC 201170410.02,170.1408561,-4.8070039,
EPIC 201238110 b,179.7058532,-3.3894613,159.259
EPIC 201427007 b,184.6021322,-0.5512886,706.391
EPIC 201497682 b,168.9366786,0.4880606,253.026
EPIC 201595106 b,183.7203635,1.9681688,232.1
EPIC 201615463 c,185.1880932,2.2823788,476.882
EPIC 201754305 d,175.0972238,4.5574311,334.967
EPIC 201757695.02,173.9385102,4.6164303,
EPIC 201833600 c,169.483654,5.988289,257.443
EPIC 201841433 b,175.206752,6.1348146,436.488
EPIC 205950854 c,333.1100738,-16.3418863,243.935
EPIC 206024342 b,331.2771441,-14.1218019,369.888
EPIC 206024342 c,331.2771441,-14.1218019,369.888
EPIC 206024342 d,331.2771441,-14.1218019,369.888
EPIC 206032309 b,341.2404563,-13.9011223,161.365
EPIC 206042996 b,337.5136198,-13.6101475,451.769
EPIC 206042996 c,337.5136198,-13.6101475,451.769
EPIC 206215704 b,335.0949721,-9.5097112,109.888
EPIC 206317286 b,337.6178427,-7.972456,314.35
EPIC 206317286 c,337.6178427,-7.972456,314.35
EPIC 211822797 b,130.4102091,17.6399744,186.197
EPIC 211945201 b,136.5741931,19.4020565,181.69
EPIC 212297394 b,207.2061241,-17.6098985,418.395
EPIC 212297394 c,207.2061241,-17.6098985,418.395
EPIC 212424622 b,202.3313765,-14.3594358,611.804
EPIC 212499991 b,202.488752,-12.7347749,283.29
EPIC 212587672 b,205.4445125,-10.8625468,320.07
EPIC 212587672 c,205.4445125,-10.8625468,320.07
EPIC 212624936 b,210.6376171,-10.0236852,561.929
EPIC 212624936 c,210.6376171,-10.0236852,561.929
EPIC 212737443 b,204.2215065,-7.3180577,336.25
EPIC 212737443 c,204.2215065,-7.3180577,336.25
EPIC 220492298 b,16.7615005,6.588798,624.512
EPIC 220554210 c,13.4321524,7.9952914,496.289
EPIC 220674823 b,13.0800239,10.7947051,244.59
EPIC 220674823 c,13.0800239,10.7947051,244.59
EPIC 228836835 b,189.5748998,-5.2446247,150.124
EPIC 229004835 b,186.4860415,-1.4047214,121.971
EPIC 246851721 b,78.9198197,16.2786991,372.632
EPIC 248847494 b,159.3890808,11.8427484,551.886
EPIC 249893012 b,228.2482353,-16.7246474,321.296
EPIC 249893012 c,228.2482353,-16.7246474,321.296
EPIC 249893012 d,228.2482353,-16.7246474,321.296
FU Tau b,65.8974962,25.0506711,
G 196-3 b,151.0884754,50.3861806,21.7912
G 264-012 b,326.6719598,66.803848,16.009
G 264-012 c,326.6719598,66.803848,16.009
G 9-40 b,134.7188514,21.0747961,27.9276
